Hebrew;transcription;English;Russian
אֲנִי;'ani;I;я
אַת;'at;you (f.);ты (ж.)
אַתָה;'ata';you (m.);ты (м.)
הִיא;hi';she;она
אִ֫מָא;'íma';mom;мама
יַ֫יִן;yáyin;wine;вино
יָם;yam;sea;море
מַ֫יִם;máyim;water;вода
מַתָנָה;matana;gift;подарок
הַי;hay;hi;привет
מָה;ma;what?;что?
מִי;mi;who?;кто?
אִיש;'ish;man;человек, мужчина
אִישָה;'isha;woman;женщина, жена
גלִידָה;glida;ice cream;мороженое
דֶ֫גֶל;dégel;flag;флаг
הָר;har;mountain;гора
יֶ֫לֶד;yéled;boy, child;мальчик, ребёнок
יַלדָה;yalda;girl;девочка
שִיר;shir;song, poetry;песня, стихи
שֶ֫מֶש;shémesh;sun;солнце
תַלמִיד;talmid;student (m.);ученик
תַלמִידָה;talmida;student (f.);ученица
מַרגָרִינָה;margarína;margarine;маргарин
תֵה;te;tea;чай
גַם;gam;too, also, as well;тоже, также
הִנֵה;hine;here;вот
שָם;sham;there;там
גֶ֫שֶם;géshem;rain;дождь
שֶ֫לֶג;shéleg;snow;снег
מֵאַ֫יִן;me'áyin;where from?;откуда
יִשְׂרָאֵל;yisra'el;Israel;Израиль
